Order #,Supplier,Date Added,Invoice Number,Metal Type,Qty,Weight,Price
52765,,17/07/2024,0,18KT,1,2.24 g.,
52766,,17/07/2024,0,14KT,1,2.86 g.,
52767,,17/07/2024,0,14KT,1,4.38 g.,
52767,,17/07/2024,0,14KT,1,3.88 g.,
52768,,17/07/2024,0,14KT,1,2.47 g.,
52771,,17/07/2024,0,18KT,1,4.42 g.,
52772,,17/07/2024,0,14KT,1,2.68 g.,
52773,,17/07/2024,0,14KT,1,7.3 g.,
52774,,17/07/2024,0,14KT,1,4.61 g.,
52775,,17/07/2024,0,14KT,1,7.31 g.,
52776,,17/07/2024,0,14KT,1,3.28 g.,
52779,,17/07/2024,0,14KT,1,4.88 g.,
52780,,17/07/2024,0,14KT,1,4.5 g.,
52781,,17/07/2024,0,14KT,1,5.31 g.,
52783,,17/07/2024,0,14KT,1,3.02 g.,
52740,,17/07/2024,0,14KT,1,8.27 g.,
52500,,17/07/2024,0,14KT,1,9.67 g.,
52740,,17/07/2024,0,14KT,1,5.58 g.,
52791,,17/07/2024,0,14KT,1,2.77 g.,
52794,,17/07/2024,0,14KT,1,3.5 g.,
52786,,17/07/2024,0,14KT,1,3.73 g.,
52801,,17/07/2024,0,14KT,1,1.81 g.,
52796,,17/07/2024,0,18KT,1,4.26 g.,
52790,,17/07/2024,0,18KT,1,2.01 g.,
52800,,17/07/2024,0,18KT,1,9.53 g.,
52802,,17/07/2024,0,18KT,1,14.22 g.,
51300,,17/07/2024,0,14KT,1,8.75 g.,
52665,,17/07/2024,0,14KT,1,4.71 g.,
52760,,17/07/2024,0,14KT,1,5.92 g.,
52760,,17/07/2024,0,14KT,1,6.63 g.,
52795,,17/07/2024,0,14KT,1,3.18 g.,
52804,,17/07/2024,0,14KT,1,2.22 g.,
52806,,17/07/2024,0,14KT,1,2.95 g.,
52807,,17/07/2024,0,18KT,1,4.24 g.,
52808,,17/07/2024,0,18KT,1,2.46 g.,
52810,,17/07/2024,0,14KT,1,4.19 g.,
52811,,17/07/2024,0,14KT,1,5.91 g.,
52813,,17/07/2024,0,14KT,1,4.57 g.,
52814,,17/07/2024,0,14KT,1,2.4 g.,
52815,,17/07/2024,0,14KT,1,4.8 g.,
52816,,17/07/2024,0,18KT,1,8.79 g.,
52817,,17/07/2024,0,14KT,1,2.72 g.,
52819,,17/07/2024,0,14KT,1,3.38 g.,
